gene	Sample_ID	compendium_version	drugs	rollup_cohort	Pathway_support_for_outlier
SEZ6	TH34_1179_S01	v7		pancancer	NA
SHH	TH34_1179_S01	v7		pancancer	KEGG_PATHWAYS_IN_CANCER(11/328),NABA_MATRISOME(15/1028),KEGG_BASAL_CELL_CARCINOMA(4/55),NABA_MATRISOME_ASSOCIATED(10/753),HALLMARK_HEDGEHOG_SIGNALING(3/36),NABA_SECRETED_FACTORS(6/344),BIOCARTA_PTC1_PATHWAY(2/11),KEGG_HEDGEHOG_SIGNALING_PATHWAY(3/56),BIOCARTA_SHH_PATHWAY(2/16),PID_HEDGEHOG_2PATHWAY(2/22),REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS(3/88)
SLC7A6	TH34_1179_S01	v7		pancancer	NA
SNAP25	TH34_1179_S01	v7		pancancer	REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION(2/17),REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES(4/186)
SNHG25	TH34_1179_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
SP6	TH34_1179_S01	v7		pancancer	NA
SPPL2B	TH34_1179_S01	v7		pancancer	NA
SSTR1	TH34_1179_S01	v7		pancancer	NA
STAG3L5P	TH34_1179_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
STAP1	TH34_1179_S01	v7		pancancer	NA
STARD3	TH34_1179_S01	v7		pancancer	NA
STMN2	TH34_1179_S01	v7		pancancer	NA
STRA6	TH34_1179_S01	v7		pancancer	NA
SYP	TH34_1179_S01	v7		pancancer	NA
TAGLN3	TH34_1179_S01	v7		pancancer	NA
TCF7L2	TH34_1179_S01	v7		pancancer	KEGG_PATHWAYS_IN_CANCER(11/328),KEGG_BASAL_CELL_CARCINOMA(4/55),KEGG_MELANOGENESIS(4/102),KEGG_WNT_SIGNALING_PATHWAY(4/151)
TM4SF4	TH34_1179_S01	v7		pancancer	NA
TMPRSS3	TH34_1179_S01	v7		pancancer	NA
TNFRSF11B	TH34_1179_S01	v7		pancancer	NA
TP53BP1	TH34_1179_S01	v7		pancancer	NA
TRDC	TH34_1179_S01	v7		pancancer	NA
TRPM8	TH34_1179_S01	v7		pancancer	NA
TSPAN11	TH34_1179_S01	v7		pancancer	NA
TSPAN32	TH34_1179_S01	v7		pancancer	NA
TTLL3	TH34_1179_S01	v7		pancancer	NA
UACA	TH34_1179_S01	v7		pancancer	NA
VGF	TH34_1179_S01	v7		pancancer	NA
WDR59	TH34_1179_S01	v7		pancancer	NA
WNT16	TH34_1179_S01	v7		pancancer	KEGG_PATHWAYS_IN_CANCER(11/328),NABA_MATRISOME(15/1028),KEGG_BASAL_CELL_CARCINOMA(4/55),NABA_MATRISOME_ASSOCIATED(10/753),KEGG_MELANOGENESIS(4/102),HALLMARK_KRAS_SIGNALING_DN(5/200),NABA_SECRETED_FACTORS(6/344),KEGG_HEDGEHOG_SIGNALING_PATHWAY(3/56),KEGG_WNT_SIGNALING_PATHWAY(4/151),REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS(3/88),WNT_SIGNALING(3/89)
ABCA7	TH34_1238_S01	v7		pancancer	NA
ABHD15	TH34_1238_S01	v7		pancancer	NA
AC002454.1	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
AC005154.6	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
AC019118.3	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
AC019118.3	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
AC093642.3	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
AC125232.1	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
ACAP1	TH34_1238_S01	v7		pancancer	NA
ACIN1	TH34_1238_S01	v7		pancancer	KEGG_SPLICEOSOME(5/128)
ADAM23	TH34_1238_S01	v7		pancancer	NA
ADAM23	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
ADAMTS10	TH34_1238_S01	v7		pancancer	NA
ADAT2	TH34_1238_S01	v7		pancancer	NA
ADRBK1	TH34_1238_S01	v7		pancancer	PID_CXCR4_PATHWAY(10/102),REACTOME_SIGNALLING_BY_NGF(8/217),REACTOME_GPCR_DOWNSTREAM_SIGNALING(14/805),KEGG_CHEMOKINE_SIGNALING_PATHWAY(6/190)
AGAP6	TH34_1238_S01	v7		pancancer	NA
AKNA	TH34_1238_S01	v7		pancancer	NA
AL442127.1	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
AOX2P	TH34_1238_S01	v7		pancancer	NA
AP1G2	TH34_1238_S01	v7		pancancer	NA
ARGLU1	TH34_1238_S01	v7		pancancer	NA
ARHGAP17	TH34_1238_S01	v7		pancancer	REACTOME_SIGNALING_BY_RHO_GTPASES(10/113)
ARHGAP30	TH34_1238_S01	v7		pancancer	REACTOME_SIGNALING_BY_RHO_GTPASES(10/113)
ARHGAP4	TH34_1238_S01	v7		pancancer	REACTOME_SIGNALING_BY_RHO_GTPASES(10/113),REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK(5/43),REACTOME_G_ALPHA1213_SIGNALLING_EVENTS(6/74),REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING(6/81),REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE(5/60),REACTOME_SIGNALLING_BY_NGF(8/217),SIG_CHEMOTAXIS(4/45),PID_RHOA_REG_PATHWAY(4/46),REACTOME_GPCR_DOWNSTREAM_SIGNALING(14/805)
ARHGEF1	TH34_1238_S01	v7		pancancer	REACTOME_G_ALPHA1213_SIGNALLING_EVENTS(6/74),REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING(6/81),KEGG_REGULATION_OF_ACTIN_CYTOSKELETON(8/216),REACTOME_SIGNALLING_BY_NGF(8/217),PID_RHOA_REG_PATHWAY(4/46),REACTOME_GPCR_DOWNSTREAM_SIGNALING(14/805)
ARHGEF18	TH34_1238_S01	v7		pancancer	REACTOME_SIGNALING_BY_RHO_GTPASES(10/113),REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK(5/43),REACTOME_G_ALPHA1213_SIGNALLING_EVENTS(6/74),REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING(6/81),REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE(5/60),REACTOME_SIGNALLING_BY_NGF(8/217),PID_RHOA_REG_PATHWAY(4/46),REACTOME_GPCR_DOWNSTREAM_SIGNALING(14/805)
ARPC4-TTLL3	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
ARPP21	TH34_1238_S01	v7		pancancer	NA
ASMTL-AS1	TH34_1238_S01	v7		pancancer	NA
ATG16L2	TH34_1238_S01	v7		pancancer	NA
ATHL1	TH34_1238_S01	v7		pancancer	NA
ATM	TH34_1238_S01	v7	Olaparib,KU-0060648,NU7441,TRAMETINIB,SELUMETINIB (AZD6244),TEMOZOLOMIDE,Temozolomide,OLAPARIB	pancancer	NA
ATP13A1	TH34_1238_S01	v7		pancancer	NA
BANK1	TH34_1238_S01	v7		pancancer	HALLMARK_INTERFERON_GAMMA_RESPONSE(7/200)
BBC3	TH34_1238_S01	v7		pancancer	NA
BBC3	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
BCAS4	TH34_1238_S01	v7		pancancer	NA
BCL7A	TH34_1238_S01	v7		pancancer	NA
BLK	TH34_1238_S01	v7		pancancer	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS(8/29),PID_PI3KCI_PATHWAY(8/49),PID_CXCR4_PATHWAY(10/102),REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR(9/126),REACTOME_ADAPTIVE_IMMUNE_SYSTEM(16/539),REACTOME_IMMUNE_SYSTEM(20/933)
BNIP3P41	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
BNIP3P41	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
BTK	TH34_1238_S01	v7	Ibrutinib,IBRUTINIB	pancancer	PID_BCR_5PATHWAY(11/65),KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY(11/75),REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS(8/29),SIG_BCR_SIGNALING_PATHWAY(8/46),PID_PI3KCI_PATHWAY(8/49),KEGG_PRIMARY_IMMUNODEFICIENCY(7/35),REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR(9/126),ST_B_CELL_ANTIGEN_RECEPTOR(6/40),REACTOME_ADAPTIVE_IMMUNE_SYSTEM(16/539),REACTOME_IMMUNE_SYSTEM(20/933),PID_EPO_PATHWAY(4/34),SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES(4/36),KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY(5/79),SIG_CHEMOTAXIS(4/45),PID_FCER1_PATHWAY(4/62)
BZRAP1-AS1	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
C16orf93	TH34_1238_S01	v7		pancancer	NA
C17orf62	TH34_1238_S01	v7		pancancer	NA
C1orf228	TH34_1238_S01	v7		pancancer	NA
CARD8	TH34_1238_S01	v7		pancancer	NA
CCDC69	TH34_1238_S01	v7		pancancer	NA
CCDC78	TH34_1238_S01	v7		pancancer	NA
CCDC78	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
CCND3	TH34_1238_S01	v7	PALBOCICLIB (PD0332991),PD 0332991	pancancer	HALLMARK_IL2_STAT5_SIGNALING(7/200),HALLMARK_ALLOGRAFT_REJECTION(7/200)
CCNL1	TH34_1238_S01	v7		pancancer	NA
CD19	TH34_1238_S01	v7		pancancer	PID_BCR_5PATHWAY(11/65),KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY(11/75),REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS(8/29),SIG_BCR_SIGNALING_PATHWAY(8/46),KEGG_PRIMARY_IMMUNODEFICIENCY(7/35),REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR(9/126),ST_B_CELL_ANTIGEN_RECEPTOR(6/40),REACTOME_ADAPTIVE_IMMUNE_SYSTEM(16/539),REACTOME_IMMUNE_SYSTEM(20/933),SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES(4/36)
CD22	TH34_1238_S01	v7		pancancer	PID_BCR_5PATHWAY(11/65),KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY(11/75),SIG_BCR_SIGNALING_PATHWAY(8/46)
CD69	TH34_1238_S01	v7		pancancer	HALLMARK_INTERFERON_GAMMA_RESPONSE(7/200)
CD70	TH34_1238_S01	v7		pancancer	NA
CD72	TH34_1238_S01	v7		pancancer	PID_BCR_5PATHWAY(11/65),KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY(11/75)
CD79B	TH34_1238_S01	v7		pancancer	PID_BCR_5PATHWAY(11/65),KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY(11/75),REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS(8/29),REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR(9/126),REACTOME_ADAPTIVE_IMMUNE_SYSTEM(16/539),REACTOME_IMMUNE_SYSTEM(20/933),HALLMARK_IL2_STAT5_SIGNALING(7/200)
CDHR3	TH34_1238_S01	v7		pancancer	NA
CDHR3	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
CDK11A	TH34_1238_S01	v7		pancancer	NA
CEACAM21	TH34_1238_S01	v7		pancancer	NA
CEP95	TH34_1238_S01	v7		pancancer	NA
CERKL	TH34_1238_S01	v7		pancancer	NA
CHKB-CPT1B	TH34_1238_S01	v7		pancancer	NA
CIITA	TH34_1238_S01	v7		pancancer	KEGG_PRIMARY_IMMUNODEFICIENCY(7/35),REACTOME_IMMUNE_SYSTEM(20/933),HALLMARK_INTERFERON_GAMMA_RESPONSE(7/200)
CLASRP	TH34_1238_S01	v7		pancancer	NA
CLEC2D	TH34_1238_S01	v7		pancancer	NA
CLECL1	TH34_1238_S01	v7		pancancer	NA
CLK3	TH34_1238_S01	v7		pancancer	NA
CORO1A	TH34_1238_S01	v7		pancancer	NA
CPT1B	TH34_1238_S01	v7		pancancer	NA
CSK	TH34_1238_S01	v7		pancancer	PID_BCR_5PATHWAY(11/65),SIG_BCR_SIGNALING_PATHWAY(8/46),PID_CXCR4_PATHWAY(10/102),ST_B_CELL_ANTIGEN_RECEPTOR(6/40),REACTOME_ADAPTIVE_IMMUNE_SYSTEM(16/539),REACTOME_IMMUNE_SYSTEM(20/933),PID_TCR_PATHWAY(6/66),PID_CD8_TCR_PATHWAY(5/53),KEGG_REGULATION_OF_ACTIN_CYTOSKELETON(8/216),ST_T_CELL_SIGNAL_TRANSDUCTION(4/45),REACTOME_HEMOSTASIS(11/466),HALLMARK_ALLOGRAFT_REJECTION(7/200),REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY(4/63),KEGG_CHEMOKINE_SIGNALING_PATHWAY(6/190)
CSNK1G2	TH34_1238_S01	v7		pancancer	NA
CTC1	TH34_1238_S01	v7		pancancer	NA
CTD-2020K17.1	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
CYTH1	TH34_1238_S01	v7		pancancer	PID_PI3KCI_PATHWAY(8/49)
DDX5	TH34_1238_S01	v7		pancancer	KEGG_SPLICEOSOME(5/128)
DDX51	TH34_1238_S01	v7		pancancer	NA
DENND4B	TH34_1238_S01	v7		pancancer	NA
DGKD	TH34_1238_S01	v7		pancancer	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM(5/76),REACTOME_HEMOSTASIS(11/466),REACTOME_GPCR_DOWNSTREAM_SIGNALING(14/805)
DOCK8	TH34_1238_S01	v7		pancancer	REACTOME_HEMOSTASIS(11/466)
DOK3	TH34_1238_S01	v7		pancancer	NA
DTX1	TH34_1238_S01	v7		pancancer	NA
DUS3L	TH34_1238_S01	v7		pancancer	NA
EBF1	TH34_1238_S01	v7		pancancer	NA
EME2	TH34_1238_S01	v7		pancancer	NA
EME2	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
ENO3	TH34_1238_S01	v7		pancancer	HALLMARK_IL2_STAT5_SIGNALING(7/200)
ENTHD2	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
ENTPD4	TH34_1238_S01	v7		pancancer	NA
ERICH1	TH34_1238_S01	v7		pancancer	NA
FAM129C	TH34_1238_S01	v7		pancancer	NA
FAM150B	TH34_1238_S01	v7		pancancer	NA
FAM193B	TH34_1238_S01	v7		pancancer	NA
FAM65B	TH34_1238_S01	v7		pancancer	NA
FBRS	TH34_1238_S01	v7		pancancer	NA
FBRSL1	TH34_1238_S01	v7		pancancer	NA
FCHSD1	TH34_1238_S01	v7		pancancer	NA
FCMR	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
FCRL1	TH34_1238_S01	v7		pancancer	NA
FCRLA	TH34_1238_S01	v7		pancancer	NA
FCRLA	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
FGD2	TH34_1238_S01	v7		pancancer	REACTOME_SIGNALING_BY_RHO_GTPASES(10/113),REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK(5/43),REACTOME_G_ALPHA1213_SIGNALLING_EVENTS(6/74),REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING(6/81),REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE(5/60),REACTOME_SIGNALLING_BY_NGF(8/217),REACTOME_GPCR_DOWNSTREAM_SIGNALING(14/805)
FGD3	TH34_1238_S01	v7		pancancer	REACTOME_SIGNALING_BY_RHO_GTPASES(10/113),REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK(5/43),REACTOME_G_ALPHA1213_SIGNALLING_EVENTS(6/74),REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING(6/81),REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE(5/60),KEGG_REGULATION_OF_ACTIN_CYTOSKELETON(8/216),REACTOME_SIGNALLING_BY_NGF(8/217),REACTOME_GPCR_DOWNSTREAM_SIGNALING(14/805)
FNBP1	TH34_1238_S01	v7		pancancer	NA
FPGS	TH34_1238_S01	v7		pancancer	NA
GABPB1-AS1	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
GAS6-AS1	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
GAS6-AS1	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
GCSAM	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
GEMIN7	TH34_1238_S01	v7		pancancer	NA
GGA1	TH34_1238_S01	v7		pancancer	NA
GGA3	TH34_1238_S01	v7		pancancer	NA
GIPR	TH34_1238_S01	v7		pancancer	REACTOME_GPCR_DOWNSTREAM_SIGNALING(14/805)
GIPR	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
GMIP	TH34_1238_S01	v7		pancancer	REACTOME_SIGNALING_BY_RHO_GTPASES(10/113)
GOLGA8A	TH34_1238_S01	v7		pancancer	NA
GOLGA8A	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
GOLGA8B	TH34_1238_S01	v7		pancancer	NA
GOLGA8N	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
GPC2	TH34_1238_S01	v7		pancancer	NA
GRK6	TH34_1238_S01	v7		pancancer	PID_CXCR4_PATHWAY(10/102),KEGG_CHEMOKINE_SIGNALING_PATHWAY(6/190)
GUSBP11	TH34_1238_S01	v7		pancancer	NA
HDAC10	TH34_1238_S01	v7		pancancer	NA
HERC2P3	TH34_1238_S01	v7		pancancer	NA
HLA-DQB1-AS1	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
HMHA1	TH34_1238_S01	v7		pancancer	REACTOME_SIGNALING_BY_RHO_GTPASES(10/113)
HNRNPH1	TH34_1238_S01	v7		pancancer	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA(7/140),REACTOME_MRNA_PROCESSING(7/161),REACTOME_MRNA_SPLICING(6/111)
HOXA5	TH34_1238_S01	v7		pancancer	NA
HOXA5	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
HPS4	TH34_1238_S01	v7		pancancer	NA
HSH2D	TH34_1238_S01	v7		pancancer	NA
IDUA	TH34_1238_S01	v7		pancancer	NA
IGHD	TH34_1238_S01	v7		pancancer	NA
IGHV3-20	TH34_1238_S01	v7		pancancer	NA
IGHV3-20	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
IGHV5-78	TH34_1238_S01	v7		pancancer	NA
IKZF1	TH34_1238_S01	v7		pancancer	NA
INPP5D	TH34_1238_S01	v7		pancancer	PID_BCR_5PATHWAY(11/65),KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY(11/75),SIG_BCR_SIGNALING_PATHWAY(8/46),PID_PI3KCI_PATHWAY(8/49),PID_CXCR4_PATHWAY(10/102),PID_TCR_PATHWAY(6/66),PID_EPO_PATHWAY(4/34),KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM(5/76),KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY(5/79),PID_FCER1_PATHWAY(4/62),PID_IL4_2PATHWAY(4/65)
INPPL1	TH34_1238_S01	v7		pancancer	PID_PI3KCI_PATHWAY(8/49),REACTOME_IMMUNE_SYSTEM(20/933),KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM(5/76),REACTOME_IL_3_5_AND_GM_CSF_SIGNALING(4/43),SIG_CHEMOTAXIS(4/45),REACTOME_IL_RECEPTOR_SHC_SIGNALING(3/27)
INTS1	TH34_1238_S01	v7		pancancer	NA
IRF4	TH34_1238_S01	v7		pancancer	REACTOME_IMMUNE_SYSTEM(20/933),HALLMARK_INTERFERON_GAMMA_RESPONSE(7/200),HALLMARK_IL2_STAT5_SIGNALING(7/200),HALLMARK_ALLOGRAFT_REJECTION(7/200),PID_IL4_2PATHWAY(4/65)
ITGA4	TH34_1238_S01	v7		pancancer	PID_CXCR4_PATHWAY(10/102),KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION(7/118),KEGG_REGULATION_OF_ACTIN_CYTOSKELETON(8/216)
KAT2A	TH34_1238_S01	v7		pancancer	NA
KCNK9	TH34_1238_S01	v7		pancancer	NA
KCNK9	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
KIAA0226L	TH34_1238_S01	v7		pancancer	NA
KIAA0922	TH34_1238_S01	v7		pancancer	NA
KLF2	TH34_1238_S01	v7		pancancer	NA
KLHDC4	TH34_1238_S01	v7		pancancer	NA
KLRC4-KLRK1	TH34_1238_S01	v7		pancancer	NA
KLRC4-KLRK1	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
KLRF2	TH34_1238_S01	v7		pancancer	NA
KLRF2	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
KLRK1	TH34_1238_S01	v7		pancancer	REACTOME_ADAPTIVE_IMMUNE_SYSTEM(16/539),REACTOME_IMMUNE_SYSTEM(20/933),KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY(6/137),HALLMARK_INTERFERON_GAMMA_RESPONSE(7/200)
KRI1	TH34_1238_S01	v7		pancancer	NA
LAMP5	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
LAT2	TH34_1238_S01	v7		pancancer	PID_FCER1_PATHWAY(4/62)
LCN8	TH34_1238_S01	v7		pancancer	NA
LDLRAD2	TH34_1238_S01	v7		pancancer	NA
LDLRAD2	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
LENG8	TH34_1238_S01	v7		pancancer	NA
LHPP	TH34_1238_S01	v7		pancancer	NA
LIMD2	TH34_1238_S01	v7		pancancer	NA
LIMD2	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
LINC00426	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
LINC01013	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
LINC01237	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
LPXN	TH34_1238_S01	v7		pancancer	NA
LRCH4	TH34_1238_S01	v7		pancancer	NA
LRMP	TH34_1238_S01	v7		pancancer	NA
LRWD1	TH34_1238_S01	v7		pancancer	NA
LTK	TH34_1238_S01	v7		pancancer	NA
LY9	TH34_1238_S01	v7		pancancer	NA
LYL1	TH34_1238_S01	v7		pancancer	NA
MAN2A2	TH34_1238_S01	v7		pancancer	NA
MAP4K2	TH34_1238_S01	v7		pancancer	NA
MCOLN2	TH34_1238_S01	v7		pancancer	NA
MCOLN2	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
MEN1	TH34_1238_S01	v7		pancancer	NA
MFNG	TH34_1238_S01	v7		pancancer	NA
MICAL1	TH34_1238_S01	v7		pancancer	NA
MILR1	TH34_1238_S01	v7		pancancer	NA
MOB3A	TH34_1238_S01	v7		pancancer	NA
MPEG1	TH34_1238_S01	v7		pancancer	NA
MPEG1	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
MRPS25	TH34_1238_S01	v7		pancancer	NA
MS4A1	TH34_1238_S01	v7	IBRITUMOMAB TIUXETAN,Ofatumumab,Ibritumomab tiuxetan,Rituximab,HUMAX-CD20,OFATUMUMAB,IBRITUMOMAB,RITUXIMAB	pancancer	NA
MSH5	TH34_1238_S01	v7		pancancer	NA
MSL3	TH34_1238_S01	v7		pancancer	NA
MTOR	TH34_1238_S01	v7	BEZ235,LY294002,PF-4691502,DACTOLISIB,AP23573,DS-3078A,Sirolimus,SF1126,OSI 027,METFORMIN,SF-1126,AZD5363,Rapamycin,EVEROLIMUS,KU-0063794,CC-223,PKI-587,AZD8055,PF-04691502,TEMSIROLIMUS,INK-128,Everolimus,RIDAFOROLIMUS,BYL719,AZD-8055,GDC-0980,DS-3078a,SIROLIMUS,OSI-027,PAZOPANIB,APITOLISIB,RAPAMYCIN (SIROLIMUS),DEFOROLIMUS,Temsirolimus,INK128,RAPAMYCIN,XL765,AZD 8055,GEDATOLISIB,XL-765,VOXTALISIB,BEZ 235,PI-103,MLN0128	pancancer	PID_CXCR4_PATHWAY(10/102),REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR(9/126),REACTOME_ADAPTIVE_IMMUNE_SYSTEM(16/539),REACTOME_IMMUNE_SYSTEM(20/933),REACTOME_SIGNALLING_BY_NGF(8/217),KEGG_MTOR_SIGNALING_PATHWAY(4/52),REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY(4/63),PID_IL4_2PATHWAY(4/65)
MYL5	TH34_1238_S01	v7		pancancer	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION(7/118),KEGG_REGULATION_OF_ACTIN_CYTOSKELETON(8/216)
MYL5	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
MYO18A	TH34_1238_S01	v7		pancancer	NA
MYO1G	TH34_1238_S01	v7		pancancer	NA
NAA40	TH34_1238_S01	v7		pancancer	NA
NADK	TH34_1238_S01	v7		pancancer	NA
NADSYN1	TH34_1238_S01	v7		pancancer	NA
NARFL	TH34_1238_S01	v7		pancancer	NA
NAT9	TH34_1238_S01	v7		pancancer	NA
NAT9	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
NCF4	TH34_1238_S01	v7		pancancer	REACTOME_ADAPTIVE_IMMUNE_SYSTEM(16/539),REACTOME_IMMUNE_SYSTEM(20/933),KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION(7/118),HALLMARK_ALLOGRAFT_REJECTION(7/200)
NCKAP1L	TH34_1238_S01	v7		pancancer	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON(8/216)
NEIL1	TH34_1238_S01	v7		pancancer	NA
NGLY1	TH34_1238_S01	v7		pancancer	NA
NPIPB3	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
NPIPB4	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
NPIPB5	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
NRROS	TH34_1238_S01	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
NUDT1	TH34_1238_S01	v7		pancancer	NA
NUDT1	TH34_1238_S01	v7		pandisease	NO_OVERLAPS_FOUND
NXF1	TH34_1238_S01	v7		pancancer	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA(7/140),REACTOME_MRNA_PROCESSING(7/161)
OFD1	TH34_1238_S01	v7		pancancer	NA
OGT	TH34_1238_S01	v7		pancancer	NA
ORMDL1	TH34_1238_S01	v7		pancancer	NA
OVCH2	TH34_1238_S01	v7		pancancer	NA
P2RX1	TH34_1238_S01	v7		pancancer	REACTOME_HEMOSTASIS(11/466)
P2RX5	TH34_1238_S01	v7		pancancer	NA
